,00c565c9-dddf-4a38-aa3b-e8c972e02772_roberta-base,085462c2-4b5d-46a7-ac9c-ededc1398f27_whisper-small-nepali,0fc580f8-2a63-47f6-87f6-a1795537544f_Qwen2,15a5ff70-5f69-4991-aa41-87e50be77cbd_twitter-roberta-base-emotion,22f6af8c-b3f2-4fe6-a5dc-a1fe298d7cff_SmallThinker-3B-Preview,26bf477d-282e-42cd-980c-b7a4debf0ced_whisper-small-belarusian,2bb315c4-d240-49d2-a08a-a8d26de2a9a0_FPG-whisper-small,2f31b936-21c4-43a3-ae01-30469caf352d_stsb-roberta-base,32456bef-dffe-4165-b39d-3e38762442a0_wav2vec2-base-960h-finetuned-ks_d1,34e9e0a1-fddb-4755-a692-0af574de2ed4_wav2vec2-base-960h-finetuned-gtzan_d1,39a843fe-5239-4099-85db-89cbfd506643_open-ai-small-2,3a28c659-7157-4dbe-8abb-a5e49fbdf25d_whisper-small-cs-cv11,4cd113f0-6e1e-43be-a797-997f10822d36_twitter-roberta-base,52cb0fb8-3906-47ed-bd0c-7df1ea844956_open-ai-small-3,69fe1c91-11b9-40ee-8fda-b24b2d9861ee_ft-roberta-toxicity,6b41d3c9-a7ac-4635-ad82-5c076e2b268c_Whisper-small-sr-yodas-v2,6b5bb1e3-7634-4a7f-85e4-db34667a78b5_open-ai-small-1,794703de-e973-41fe-afd2-341f4a235176_nli-roberta-base,8af3ab97-4371-488e-aaea-e4a03d64a199_wav2vec2-base-960h_d0,8e8c6640-a308-47b1-b06f-e2b955c1052c_smartmind-cyberone-20250401-test,92685a15-99fa-4713-927d-5cc6a6674822_whisper-small,9857137a-c1d6-4ed8-95fa-16c38e5fc95c_Qwen2,9c673983-168c-4cb3-b409-40e59cf5462b_wav2vec2-base-960h-speech-emotion-classification-E02_SER_d1,a51319bb-39fd-4586-ac01-48b2774e8dc0_twitter-roberta-base-irony,b26f8c0a-5d16-43af-9419-8a12233af44c_twitter-roberta-base-sentiment,b6888e9e-be10-483a-bc5d-7728092b9aa6_whisper-small-keyword-spotting,bdcbb51d-71a8-42f5-aae1-b4a71af7b1f4_special2,beca27f0-5d3a-4555-838e-b7145b79e20a_tw-roberta-base-sentiment-FT-v2,bf7f2777-63cf-404e-9d57-0b397f459262_wav2vec2-base-960h-finetuned-gtzan2_d1,c18b231a-28c0-4a36-9f17-a288627a9cc6_FPG-whisper-small-v2,cdd49ea8-6a19-4532-9b55-681f7a8f6ff2_whisper-small-cantonese,dfbfd358-38e2-440c-a706-6bc4a8a1ebf6_fa-ir-stt-whisper-small-v1,e4c3a50a-0b2b-4401-8e9a-0294160b421e_tw-roberta-base-sentiment-FT,e4ccab04-7d4b-4a22-ac0f-3b7cfa4dd857_Musical-Instrument-Classification_d1,edcbefa4-7b8b-4a44-891f-ad680556f266_whisper-small-final-v3,f812ed20-7186-4612-ae73-b8d670eafa3b_whisper-small-ftl
92685a15-99fa-4713-927d-5cc6a6674822_whisper-small,0.0,0.034826796465495136,0.0,0.0,0.0,0.5778057572897524,0.02069049385318067,0.0,0.0,0.0,0.06128271954366937,0.05164232639071997,0.0,0.06652055663289502,0.0,0.032051960050011985,0.044994239156949334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04499768457026221,0.0,0.0,0.116386650421191,0.520111515885219,0.044086289810366,0.0,0.0,0.044234017535927705,0.11721535955439322
9857137a-c1d6-4ed8-95fa-16c38e5fc95c_Qwen2,0.0,0.0,0.017793260849430226,0.0,0.12257156381383538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12273220403585583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9c673983-168c-4cb3-b409-40e59cf5462b_wav2vec2-base-960h-speech-emotion-classification-E02_SER_d1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.053429753170348704,0.08394483244046569,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0313103525841143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09096736751962453,0.0,0.0,0.0,0.0,0.03265525691676885,0.0,0.0
a51319bb-39fd-4586-ac01-48b2774e8dc0_twitter-roberta-base-irony,0.35275093792006373,0.0,0.0,0.0206801381718833,0.0,0.0,0.0,0.3977434695698321,0.0,0.0,0.0,0.0,0.01354778025415726,0.0,0.059200873714871705,0.0,0.0,0.39630426513031125,0.0,0.0,0.0,0.0,0.0,0.0,0.050541698845336214,0.0,0.0,0.060683594027068466,0.0,0.0,0.0,0.0,0.10601238859817386,0.0,0.0,0.0
b26f8c0a-5d16-43af-9419-8a12233af44c_twitter-roberta-base-sentiment,0.35323751578107476,0.0,0.0,0.05092502370825969,0.0,0.0,0.0,0.3982098358683288,0.0,0.0,0.0,0.0,0.023126417741877958,0.0,0.023060052539221942,0.0,0.0,0.39669737638905644,0.0,0.0,0.0,0.0,0.0,0.050541698845336214,0.0,0.0,0.0,0.02539164968766272,0.0,0.0,0.0,0.0,0.07851847272831947,0.0,0.0,0.0
b6888e9e-be10-483a-bc5d-7728092b9aa6_whisper-small-keyword-spotting,0.0,0.012215292037581094,0.0,0.0,0.0,0.19360409351065755,0.006410831083485391,0.0,0.0,0.0,0.018741534266155213,0.016497643780894578,0.0,0.020556058909278363,0.0,0.009771148514118977,0.014050520403543487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014893123297952116,0.0,0.0,0.04005082877120003,0.16016140417195857,0.01514640542154666,0.0,0.0,0.015602282976033166,0.040257717366330326
bdcbb51d-71a8-42f5-aae1-b4a71af7b1f4_special2,0.0,0.05713488567562308,0.0,0.0,0.0,0.5792269406374544,0.04949499835493043,0.0,0.0,0.0,0.07579991573584266,0.06831759632041212,0.0,0.08004275560961105,0.0,0.05509352189255878,0.06349072836746927,0.0,0.0,0.0,0.04499768457026221,0.0,0.0,0.0,0.0,0.014893123297952116,0.0,0.0,0.0,0.12429222388891503,0.5217754218028858,0.0631437440024456,0.0,0.0,0.06316995517408941,0.12500072486000136
beca27f0-5d3a-4555-838e-b7145b79e20a_tw-roberta-base-sentiment-FT-v2,0.3540639686398208,0.0,0.0,0.06083607324399054,0.0,0.0,0.0,0.3988222675397992,0.0,0.0,0.0,0.0,0.03434989508241415,0.0,0.034329850459471345,0.0,0.0,0.39731623884290457,0.0,0.0,0.0,0.0,0.0,0.060683594027068466,0.02539164968766272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07674872176721692,0.0,0.0,0.0
bf7f2777-63cf-404e-9d57-0b397f459262_wav2vec2-base-960h-finetuned-gtzan2_d1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09522746922448277,0.10979471704922616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08555046620313078,0.0,0.0,0.0,0.09096736751962453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08616067469120026,0.0,0.0
c18b231a-28c0-4a36-9f17-a288627a9cc6_FPG-whisper-small-v2,0.0,0.1215623997268267,0.0,0.0,0.0,0.5877315846737474,0.11397242618841119,0.0,0.0,0.0,0.13100571968243457,0.12737015663878992,0.0,0.1334223345911596,0.0,0.12031707461574115,0.12432497326517478,0.0,0.0,0.0,0.116386650421191,0.0,0.0,0.0,0.0,0.04005082877120003,0.12429222388891503,0.0,0.0,0.0,0.5318552701501176,0.12358643097104505,0.0,0.0,0.12417158918105997,0.01557138942007441
cdd49ea8-6a19-4532-9b55-681f7a8f6ff2_whisper-small-cantonese,0.0,0.5212478997418657,0.0,0.0,0.0,0.7681668265722692,0.5205003424780443,0.0,0.0,0.0,0.5233608647249639,0.5225741830654442,0.0,0.5239448570646346,0.0,0.5210933714406565,0.521871903561987,0.0,0.0,0.0,0.520111515885219,0.0,0.0,0.0,0.0,0.16016140417195857,0.5217754218028858,0.0,0.0,0.5318552701501176,0.0,0.5219464671099558,0.0,0.0,0.5218447319930419,0.5319567846599966
dfbfd358-38e2-440c-a706-6bc4a8a1ebf6_fa-ir-stt-whisper-small-v1,0.0,0.056162864464567974,0.0,0.0,0.0,0.5791927368845791,0.047858528298093006,0.0,0.0,0.0,0.0755954654305242,0.0680548044765601,0.0,0.07989190411171876,0.0,0.05394257715670392,0.06292545904580038,0.0,0.0,0.0,0.044086289810366,0.0,0.0,0.0,0.0,0.01514640542154666,0.0631437440024456,0.0,0.0,0.12358643097104505,0.5219464671099558,0.0,0.0,0.0,0.06198801058053505,0.12438769635627978
e4c3a50a-0b2b-4401-8e9a-0294160b421e_tw-roberta-base-sentiment-FT,0.360357619356364,0.0,0.0,0.1060421735746786,0.0,0.0,0.0,0.4026501695625484,0.0,0.0,0.0,0.0,0.08109092724043876,0.0,0.08180425059981644,0.0,0.0,0.40123470360413194,0.0,0.0,0.0,0.0,0.0,0.10601238859817386,0.07851847272831947,0.0,0.0,0.07674872176721692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
e4ccab04-7d4b-4a22-ac0f-3b7cfa4dd857_Musical-Instrument-Classification_d1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.044786297366954386,0.07862044218927622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010101002299052197,0.0,0.0,0.0,0.03265525691676885,0.0,0.0,0.0,0.0,0.0,0.08616067469120026,0.0,0.0,0.0,0.0,0.0,0.0,0.0
edcbefa4-7b8b-4a44-891f-ad680556f266_whisper-small-final-v3,0.0,0.05629072606097907,0.0,0.0,0.0,0.5792650770163164,0.04865892630186863,0.0,0.0,0.0,0.07549881102750078,0.06813479033007752,0.0,0.0798115095240064,0.0,0.05453061984735541,0.06292876829684246,0.0,0.0,0.0,0.044234017535927705,0.0,0.0,0.0,0.0,0.015602282976033166,0.06316995517408941,0.0,0.0,0.12417158918105997,0.5218447319930419,0.06198801058053505,0.0,0.0,0.0,0.12495020194910467
f812ed20-7186-4612-ae73-b8d670eafa3b_whisper-small-ftl,0.0,0.12237120338249952,0.0,0.0,0.0,0.5878471930045635,0.11486820052959956,0.0,0.0,0.0,0.13164275922463275,0.12811589185730554,0.0,0.13403279235353693,0.0,0.1210949975065887,0.1250069209781941,0.0,0.0,0.0,0.11721535955439322,0.0,0.0,0.0,0.0,0.040257717366330326,0.12500072486000136,0.0,0.0,0.01557138942007441,0.5319567846599966,0.12438769635627978,0.0,0.0,0.12495020194910467,0.0
